博物馆博物编号,文物详细信息,文物名称,时间,朝代,出处,详情页地址,图片url
2634,中国，南宋（1127-1279 年）。册页，纸上墨迹；绘画：34.2 x 38.4 厘米（13.7/16 x 15.1/8 英寸）。克利夫兰艺术博物馆，John L. Severance 基金，以纪念周儒熙博士，并由不同捐赠者赠与亚洲艺术系（交换） 2004.1.31,道教与佛教题材册页：地狱十王图 第31页,1200s,亚洲 - 相册叶,王翬[1632-1717]；李嘉乐[1863 年进士]；朱沆[活跃于 19 世纪]；马丁博士[1868-1933]，瑞典斯德哥尔摩和德国慕尼黑（1910-？-1947年）；（伦敦苏富比拍卖行，1947年3月25日，第118号拍卖品，卖给斯蒂芬-茹昆奇三世）（1947年3月25日）；伊斯特万-"斯蒂芬"-茹昆奇三世[1904-1978年]，后传给其子斯蒂芬-茹昆奇四世（1947-78年）；（斯蒂芬-茹昆奇四世[生于1937年]，佛罗里达州迈阿密，卖给克利夫兰艺术博物馆）（1978-2004年）；克利夫兰艺术博物馆，克利夫兰，俄亥俄州（2004年）,https://clevelandart.org/art/2004.1.31,https://openaccess-cdn.clevelandart.org/2004.1.31/2004.1.31_web.jpg
2635,道教和佛教题材画册：地狱之王：第 32 片叶子，1200 年代：34.2 x 38.3 厘米（13.7/16 x 15.1/16英寸）。克利夫兰艺术博物馆，John L. Severance 基金，纪念周儒熙博士，不同捐赠者赠与亚洲艺术系（交换） 2004.1.32,道教与佛教题材册页：地狱十王图 第32页,1200s,亚洲 - 相册叶,王翬[1632-1717]；李嘉乐[1863 年进士]；朱沆[活跃于 19 世纪]；马丁博士[1868-1933]，瑞典斯德哥尔摩和德国慕尼黑（1910-？-1947年）；（伦敦苏富比拍卖行，1947年3月25日，第118号拍卖品，卖给斯蒂芬-茹昆奇三世）（1947年3月25日）；伊斯特万-"斯蒂芬"-茹昆奇三世[1904-1978年]，后传给其子斯蒂芬-茹昆奇四世（1947-78年）；（斯蒂芬-茹昆奇四世[生于1937年]，佛罗里达州迈阿密，卖给克利夫兰艺术博物馆）（1978-2004年）；克利夫兰艺术博物馆，克利夫兰，俄亥俄州（2004年）,https://clevelandart.org/art/2004.1.32,https://openaccess-cdn.clevelandart.org/2004.1.32/2004.1.32_web.jpg
2636,道教和佛教题材画册：地狱之王：第 33 片叶子，1200 年代：34.1 x 38.3 厘米（13.7/16 x 15.1/16英寸）。克利夫兰艺术博物馆，John L. Severance 基金，纪念周儒熙博士，不同捐赠者赠与亚洲艺术系（交换） 2004.1.33,道教与佛教题材册页：地狱十王图 第33页,1200s,亚洲 - 相册叶,王翬[1632-1717]；李嘉乐[1863 年进士]；朱沆[活跃于 19 世纪]；马丁博士[1868-1933]，瑞典斯德哥尔摩和德国慕尼黑（1910-？-1947年）；（伦敦苏富比拍卖行，1947年3月25日，第118号拍卖品，卖给斯蒂芬-茹昆奇三世）（1947年3月25日）；伊斯特万-"斯蒂芬"-茹昆奇三世[1904-1978年]，后传给其子斯蒂芬-茹昆奇四世（1947-78年）；（斯蒂芬-茹昆奇四世[生于1937年]，佛罗里达州迈阿密，卖给克利夫兰艺术博物馆）（1978-2004年）；克利夫兰艺术博物馆，克利夫兰，俄亥俄州（2004年）,https://clevelandart.org/art/2004.1.33,https://openaccess-cdn.clevelandart.org/2004.1.33/2004.1.33_web.jpg
2637,中国，南宋（1127-1279 年）。册页，纸上墨迹；绘画：34.1 x 38.3 厘米（13.7/16 x 15.1/16英寸）。克利夫兰艺术博物馆，John L. Severance 基金，纪念周儒熙博士，不同捐赠者赠与亚洲艺术系（交换） 2004.1.34,道教与佛教题材册页：地狱十王图 第34页,1200s,亚洲 - 相册叶,王翬[1632-1717]；李嘉乐[1863 年进士]；朱沆[活跃于 19 世纪]；马丁博士[1868-1933]，瑞典斯德哥尔摩和德国慕尼黑（1910-？-1947年）；（伦敦苏富比拍卖行，1947年3月25日，第118号拍卖品，卖给斯蒂芬-茹昆奇三世）（1947年3月25日）；伊斯特万-"斯蒂芬"-茹昆奇三世[1904-1978年]，后传给其子斯蒂芬-茹昆奇四世（1947-78年）；（斯蒂芬-茹昆奇四世[生于1937年]，佛罗里达州迈阿密，卖给克利夫兰艺术博物馆）（1978-2004年）；克利夫兰艺术博物馆，克利夫兰，俄亥俄州（2004年）,https://clevelandart.org/art/2004.1.34,https://openaccess-cdn.clevelandart.org/2004.1.34/2004.1.34_web.jpg
2638,中国，南宋（1127-1279 年）。册页，纸上墨迹；绘画：34.1 x 38.3 厘米（13.7/16 x 15.1/16英寸）。克利夫兰艺术博物馆，John L. Severance 基金，纪念周儒熙博士，不同捐赠者赠与亚洲艺术系（交换） 2004.1.35,道教与佛教题材册页：地狱十王图 第35页,1200s,亚洲 - 相册叶,王翬[1632-1717]；李嘉乐[1863 年进士]；朱沆[活跃于 19 世纪]；马丁博士[1868-1933]，瑞典斯德哥尔摩和德国慕尼黑（1910-？-1947年）；（伦敦苏富比拍卖行，1947年3月25日，第118号拍卖品，卖给斯蒂芬-茹昆奇三世）（1947年3月25日）；伊斯特万-"斯蒂芬"-茹昆奇三世[1904-1978年]，后传给其子斯蒂芬-茹昆奇四世（1947-78年）；（斯蒂芬-茹昆奇四世[生于1937年]，佛罗里达州迈阿密，卖给克利夫兰艺术博物馆）（1978-2004年）；克利夫兰艺术博物馆，克利夫兰，俄亥俄州（2004年）,https://clevelandart.org/art/2004.1.35,https://openaccess-cdn.clevelandart.org/2004.1.35/2004.1.35_web.jpg
2639,中国，南宋（1127-1279 年）。册页，纸上墨迹；绘画：34.2 x 38.3 厘米（13.7/16 x 15.1/16英寸）。克利夫兰艺术博物馆，John L. Severance 基金，纪念周儒熙博士，不同捐赠者赠与亚洲艺术系（交换） 2004.1.36,道教与佛教题材册页：地狱十王图 第36页,1200s,亚洲 - 相册叶,王翬[1632-1717]；李嘉乐[1863 年进士]；朱沆[活跃于 19 世纪]；马丁博士[1868-1933]，瑞典斯德哥尔摩和德国慕尼黑（1910-？-1947年）；（伦敦苏富比拍卖行，1947年3月25日，第118号拍卖品，卖给斯蒂芬-茹昆奇三世）（1947年3月25日）；伊斯特万-"斯蒂芬"-茹昆奇三世[1904-1978年]，后传给其子斯蒂芬-茹昆奇四世（1947-78年）；（斯蒂芬-茹昆奇四世[生于1937年]，佛罗里达州迈阿密，卖给克利夫兰艺术博物馆）（1978-2004年）；克利夫兰艺术博物馆，克利夫兰，俄亥俄州（2004年）,https://clevelandart.org/art/2004.1.36,https://openaccess-cdn.clevelandart.org/2004.1.36/2004.1.36_web.jpg
2640,道教和佛教题材画册：地狱之王：第 37 片叶子，1200 年代：34.1 x 38.4 厘米（13.7/16 x 15.1/8 英寸）。克利夫兰艺术博物馆，John L. Severance 基金，以纪念周儒熙博士，并由不同捐赠者赠与亚洲艺术系（交换） 2004.1.37,道教与佛教题材册页：地狱十王图 第37页,1200s,亚洲 - 相册叶,王翬[1632-1717]；李嘉乐[1863 年进士]；朱沆[活跃于 19 世纪]；马丁博士[1868-1933]，瑞典斯德哥尔摩和德国慕尼黑（1910-？-1947年）；（伦敦苏富比拍卖行，1947年3月25日，第118号拍卖品，卖给斯蒂芬-茹昆奇三世）（1947年3月25日）；伊斯特万-"斯蒂芬"-茹昆奇三世[1904-1978年]，后传给其子斯蒂芬-茹昆奇四世（1947-78年）；（斯蒂芬-茹昆奇四世[生于1937年]，佛罗里达州迈阿密，卖给克利夫兰艺术博物馆）（1978-2004年）；克利夫兰艺术博物馆，克利夫兰，俄亥俄州（2004年）,https://clevelandart.org/art/2004.1.37,https://openaccess-cdn.clevelandart.org/2004.1.37/2004.1.37_web.jpg
2641,中国，南宋（1127-1279 年）。册页，纸上墨迹；绘画：34.1 x 38.5 厘米（13.7/16 x 15.3/16英寸）。克利夫兰艺术博物馆，John L. Severance 基金，以纪念周儒熙博士，不同捐赠者赠与亚洲艺术系（交换） 2004.1.38,道教与佛教题材册页：地狱十王图 第38页,1200s,亚洲 - 相册叶,王翬[1632-1717]；李嘉乐[1863 年进士]；朱沆[活跃于 19 世纪]；马丁博士[1868-1933]，瑞典斯德哥尔摩和德国慕尼黑（1910-？-1947年）；（伦敦苏富比拍卖行，1947年3月25日，第118号拍卖品，卖给斯蒂芬-茹昆奇三世）（1947年3月25日）；伊斯特万-"斯蒂芬"-茹昆奇三世[1904-1978年]，后传给其子斯蒂芬-茹昆奇四世（1947-78年）；（斯蒂芬-茹昆奇四世[生于1937年]，佛罗里达州迈阿密，卖给克利夫兰艺术博物馆）（1978-2004年）；克利夫兰艺术博物馆，克利夫兰，俄亥俄州（2004年）,https://clevelandart.org/art/2004.1.38,https://openaccess-cdn.clevelandart.org/2004.1.38/2004.1.38_web.jpg
2642,中国，南宋（1127-1279 年）。册页，纸上墨迹；绘画：34.1 x 38.4 厘米（13.7/16 x 15.1/8 英寸）。克利夫兰艺术博物馆，John L. Severance 基金，纪念周儒熙博士，不同捐赠者赠与亚洲艺术系（交换） 2004.1.39,道教与佛教题材册页：地狱十王图 第39页,1200s,亚洲 - 相册叶,王翬[1632-1717]；李嘉乐[1863 年进士]；朱沆[活跃于 19 世纪]；马丁博士[1868-1933]，瑞典斯德哥尔摩和德国慕尼黑（1910-？-1947年）；（伦敦苏富比拍卖行，1947年3月25日，第118号拍卖品，卖给斯蒂芬-茹昆奇三世）（1947年3月25日）；伊斯特万-"斯蒂芬"-茹昆奇三世[1904-1978年]，后传给其子斯蒂芬-茹昆奇四世（1947-78年）；（斯蒂芬-茹昆奇四世[生于1937年]，佛罗里达州迈阿密，卖给克利夫兰艺术博物馆）（1978-2004年）；克利夫兰艺术博物馆，克利夫兰，俄亥俄州（2004年）,https://clevelandart.org/art/2004.1.39,https://openaccess-cdn.clevelandart.org/2004.1.39/2004.1.39_web.jpg
2643,中国，南宋（1127-1279 年）。册页，纸上墨迹；绘画：克利夫兰艺术博物馆，John L. Severance 基金，纪念周儒熙博士，不同捐赠者赠与亚洲艺术系（交换）2004.1.4。,道教与佛教题材册页：道教神仙列队图 第4页,1200s,亚洲 - 相册叶,王翬[1632-1717]；李嘉乐[1863 年进士]；朱沆[活跃于 19 世纪]；马丁博士[1868-1933]，瑞典斯德哥尔摩和德国慕尼黑（1910-？-1947年）；（伦敦苏富比拍卖行，1947年3月25日，第118号拍卖品，卖给斯蒂芬-茹昆奇三世）（1947年3月25日）；伊斯特万-"斯蒂芬"-茹昆奇三世[1904-1978年]，后传给其子斯蒂芬-茹昆奇四世（1947-78年）；（斯蒂芬-茹昆奇四世[生于1937年]，佛罗里达州迈阿密，卖给克利夫兰艺术博物馆）（1978-2004年）；克利夫兰艺术博物馆，克利夫兰，俄亥俄州（2004年）,https://clevelandart.org/art/2004.1.4,https://openaccess-cdn.clevelandart.org/2004.1.4/2004.1.4_web.jpg
2644,中国，南宋（1127-1279 年）。册页，纸本水墨；绘画：34.3 x 38.4 厘米（13 1/2 x 15 1/8 英寸）。克利夫兰艺术博物馆，John L. Severance 基金，以纪念周儒熙博士，不同捐赠者赠与亚洲艺术系（交换） 2004.1.40,道教与佛教题材册页：地狱十王图 第40页,1200s,亚洲 - 相册叶,王翬[1632-1717]；李嘉乐[1863 年进士]；朱沆[活跃于 19 世纪]；马丁博士[1868-1933]，瑞典斯德哥尔摩和德国慕尼黑（1910-？-1947年）；（伦敦苏富比拍卖行，1947年3月25日，第118号拍卖品，卖给斯蒂芬-茹昆奇三世）（1947年3月25日）；伊斯特万-"斯蒂芬"-茹昆奇三世[1904-1978年]，后传给其子斯蒂芬-茹昆奇四世（1947-78年）；（斯蒂芬-茹昆奇四世[生于1937年]，佛罗里达州迈阿密，卖给克利夫兰艺术博物馆）（1978-2004年）；克利夫兰艺术博物馆，克利夫兰，俄亥俄州（2004年）,https://clevelandart.org/art/2004.1.40,https://openaccess-cdn.clevelandart.org/2004.1.40/2004.1.40_web.jpg
2645,中国，南宋（1127-1279 年）。册页，纸本水墨；画作：34.3 x 38.5 厘米（13 1/2 x 15 3/16 英寸）；整体：35 x 39.9 厘米（13 3/4 x 15 11/16 英寸）。克利夫兰艺术博物馆，John L. Severance 基金，以纪念周儒熙博士，不同捐赠者赠与亚洲艺术系（交换） 2004.1.41,道教与佛教题材册页：寻山图 第41页,1200s,亚洲 - 相册叶,王翬[1632-1717]；李嘉乐[1863 年进士]；朱沆[活跃于 19 世纪]；马丁博士[1868-1933]，瑞典斯德哥尔摩和德国慕尼黑（1910-？-1947年）；（伦敦苏富比拍卖行，1947年3月25日，第118号拍卖品，卖给斯蒂芬-茹昆奇三世）（1947年3月25日）；伊斯特万-"斯蒂芬"-茹昆奇三世[1904-1978年]，后传给其子斯蒂芬-茹昆奇四世（1947-78年）；（斯蒂芬-茹昆奇四世[生于1937年]，佛罗里达州迈阿密，卖给克利夫兰艺术博物馆）（1978-2004年）；克利夫兰艺术博物馆，克利夫兰，俄亥俄州（2004年）,https://clevelandart.org/art/2004.1.41,https://openaccess-cdn.clevelandart.org/2004.1.41/2004.1.41_web.jpg
2646,中国，南宋（1127-1279 年）。册页，纸上墨迹；绘画：34.2 x 38.4 厘米（13.7/16 x 15.1/8 英寸）。克利夫兰艺术博物馆，John L. Severance 基金，以纪念周儒熙博士，不同捐赠者赠与亚洲艺术系（交换） 2004.1.42,道教与佛教题材册页：寻山图 第42页,1200s,亚洲 - 相册叶,王翬[1632-1717]；李嘉乐[1863 年进士]；朱沆[活跃于 19 世纪]；马丁博士[1868-1933]，瑞典斯德哥尔摩和德国慕尼黑（1910-？-1947年）；（伦敦苏富比拍卖行，1947年3月25日，第118号拍卖品，卖给斯蒂芬-茹昆奇三世）（1947年3月25日）；伊斯特万-"斯蒂芬"-茹昆奇三世[1904-1978年]，后传给其子斯蒂芬-茹昆奇四世（1947-78年）；（斯蒂芬-茹昆奇四世[生于1937年]，佛罗里达州迈阿密，卖给克利夫兰艺术博物馆）（1978-2004年）；克利夫兰艺术博物馆，克利夫兰，俄亥俄州（2004年）,https://clevelandart.org/art/2004.1.42,https://openaccess-cdn.clevelandart.org/2004.1.42/2004.1.42_web.jpg
2647,中国，南宋（1127-1279 年），册页，纸本水墨；绘画：34.1 x 38.5 厘米（13 7/16 x 15 3/16 英寸）；整体：34.8 x 39.2 厘米（13 11/16 x 15 7/16 英寸）。克利夫兰艺术博物馆，John L. Severance 基金，以纪念周儒熙博士，并由不同捐赠者赠与亚洲艺术系（交换） 2004.1.43,道教与佛教题材册页：寻山图 第43页,1200s,亚洲 - 相册叶,王翬[1632-1717]；李嘉乐[1863 年进士]；朱沆[活跃于 19 世纪]；马丁博士[1868-1933]，瑞典斯德哥尔摩和德国慕尼黑（1910-？-1947年）；（伦敦苏富比拍卖行，1947年3月25日，第118号拍卖品，卖给斯蒂芬-茹昆奇三世）（1947年3月25日）；伊斯特万-"斯蒂芬"-茹昆奇三世[1904-1978年]，后传给其子斯蒂芬-茹昆奇四世（1947-78年）；（斯蒂芬-茹昆奇四世[生于1937年]，佛罗里达州迈阿密，卖给克利夫兰艺术博物馆）（1978-2004年）；克利夫兰艺术博物馆，克利夫兰，俄亥俄州（2004年）,https://clevelandart.org/art/2004.1.43,https://openaccess-cdn.clevelandart.org/2004.1.43/2004.1.43_web.jpg
2648,中国，南宋（1127-1279 年），册页，纸本水墨；绘画：34.1 x 38.4 cm (13 7/16 x 15 1/8 in.)。克利夫兰艺术博物馆，John L. Severance 基金，以纪念周儒熙博士，并由不同捐赠者赠与亚洲艺术系（交换） 2004.1.44,道教与佛教题材册页：寻山图 第44页,1200s,亚洲 - 相册叶,王翬[1632-1717]；李嘉乐[1863 年进士]；朱沆[活跃于 19 世纪]；马丁博士[1868-1933]，瑞典斯德哥尔摩和德国慕尼黑（1910-？-1947年）；（伦敦苏富比拍卖行，1947年3月25日，第118号拍卖品，卖给斯蒂芬-茹昆奇三世）（1947年3月25日）；伊斯特万-"斯蒂芬"-茹昆奇三世[1904-1978年]，后传给其子斯蒂芬-茹昆奇四世（1947-78年）；（斯蒂芬-茹昆奇四世[生于1937年]，佛罗里达州迈阿密，卖给克利夫兰艺术博物馆）（1978-2004年）；克利夫兰艺术博物馆，克利夫兰，俄亥俄州（2004年）,https://clevelandart.org/art/2004.1.44,https://openaccess-cdn.clevelandart.org/2004.1.44/2004.1.44_web.jpg
2649,中国，南宋（1127-1279 年）。册页，纸上墨迹；绘画：34.2 x 38.5 厘米（13.7/16 x 15.3/16英寸）。克利夫兰艺术博物馆，John L. Severance 基金，以纪念周儒熙博士，并由不同捐赠者赠与亚洲艺术系（交换） 2004.1.45,道教与佛教题材册页：寻山图 第45页,1200s,亚洲 - 相册叶,王翬[1632-1717]；李嘉乐[1863 年进士]；朱沆[活跃于 19 世纪]；马丁博士[1868-1933]，瑞典斯德哥尔摩和德国慕尼黑（1910-？-1947年）；（伦敦苏富比拍卖行，1947年3月25日，第118号拍卖品，卖给斯蒂芬-茹昆奇三世）（1947年3月25日）；伊斯特万-"斯蒂芬"-茹昆奇三世[1904-1978年]，后传给其子斯蒂芬-茹昆奇四世（1947-78年）；（斯蒂芬-茹昆奇四世[生于1937年]，佛罗里达州迈阿密，卖给克利夫兰艺术博物馆）（1978-2004年）；克利夫兰艺术博物馆，克利夫兰，俄亥俄州（2004年）,https://clevelandart.org/art/2004.1.45,https://openaccess-cdn.clevelandart.org/2004.1.45/2004.1.45_web.jpg
2650,中国，南宋（1127-1279 年）。册页，纸上墨迹；绘画：34.1 x 38.4 厘米（13.7/16 x 15.1/8 英寸）。克利夫兰艺术博物馆，John L. Severance 基金，以纪念周儒熙博士，不同捐赠者赠与亚洲艺术系（交换） 2004.1.46,道教与佛教题材册页：寻山图 第46页,1200s,亚洲 - 相册叶,王翬[1632-1717]；李嘉乐[1863 年进士]；朱沆[活跃于 19 世纪]；马丁博士[1868-1933]，瑞典斯德哥尔摩和德国慕尼黑（1910-？-1947年）；（伦敦苏富比拍卖行，1947年3月25日，第118号拍卖品，卖给斯蒂芬-茹昆奇三世）（1947年3月25日）；伊斯特万-"斯蒂芬"-茹昆奇三世[1904-1978年]，后传给其子斯蒂芬-茹昆奇四世（1947-78年）；（斯蒂芬-茹昆奇四世[生于1937年]，佛罗里达州迈阿密，卖给克利夫兰艺术博物馆）（1978-2004年）；克利夫兰艺术博物馆，克利夫兰，俄亥俄州（2004年）,https://clevelandart.org/art/2004.1.46,https://openaccess-cdn.clevelandart.org/2004.1.46/2004.1.46_web.jpg
2651,中国，南宋（1127-1279 年），册页，纸本水墨；绘画：34.1 x 38.2 厘米（13.7/16 x 15.1/16英寸）。克利夫兰艺术博物馆，John L. Severance 基金，纪念周儒熙博士，不同捐赠者赠与亚洲艺术系（交换） 2004.1.47,道教与佛教题材册页：寻山图 第47页,1200s,亚洲 - 相册叶,王翬[1632-1717]；李嘉乐[1863 年进士]；朱沆[活跃于 19 世纪]；马丁博士[1868-1933]，瑞典斯德哥尔摩和德国慕尼黑（1910-？-1947年）；（伦敦苏富比拍卖行，1947年3月25日，第118号拍卖品，卖给斯蒂芬-茹昆奇三世）（1947年3月25日）；伊斯特万-"斯蒂芬"-茹昆奇三世[1904-1978年]，后传给其子斯蒂芬-茹昆奇四世（1947-78年）；（斯蒂芬-茹昆奇四世[生于1937年]，佛罗里达州迈阿密，卖给克利夫兰艺术博物馆）（1978-2004年）；克利夫兰艺术博物馆，克利夫兰，俄亥俄州（2004年）,https://clevelandart.org/art/2004.1.47,https://openaccess-cdn.clevelandart.org/2004.1.47/2004.1.47_web.jpg
2652,中国，南宋（1127-1279 年），册页，纸本水墨；绘画：34.1 x 38.4 厘米（13.7/16 x 15.1/8 英寸）。克利夫兰艺术博物馆，John L. Severance 基金，以纪念周儒熙博士，不同捐赠者赠与亚洲艺术系（交换） 2004.1.48,道教与佛教题材册页：寻山图 第48页,1200s,亚洲 - 相册叶,王翬[1632-1717]；李嘉乐[1863 年进士]；朱沆[活跃于 19 世纪]；马丁博士[1868-1933]，瑞典斯德哥尔摩和德国慕尼黑（1910-？-1947年）；（伦敦苏富比拍卖行，1947年3月25日，第118号拍卖品，卖给斯蒂芬-茹昆奇三世）（1947年3月25日）；伊斯特万-"斯蒂芬"-茹昆奇三世[1904-1978年]，后传给其子斯蒂芬-茹昆奇四世（1947-78年）；（斯蒂芬-茹昆奇四世[生于1937年]，佛罗里达州迈阿密，卖给克利夫兰艺术博物馆）（1978-2004年）；克利夫兰艺术博物馆，克利夫兰，俄亥俄州（2004年）,https://clevelandart.org/art/2004.1.48,https://openaccess-cdn.clevelandart.org/2004.1.48/2004.1.48_web.jpg
2653,中国，南宋（1127-1279 年）。册页，纸上墨迹；绘画：34.2 x 38.4 厘米（13.7/16 x 15.1/8 英寸）。克利夫兰艺术博物馆，John L. Severance 基金，以纪念周儒熙博士，并由不同捐赠者赠与亚洲艺术系（交换） 2004.1.49,道教与佛教题材册页：寻山图 第49页,1200s,亚洲 - 相册叶,王翬[1632-1717]；李嘉乐[1863 年进士]；朱沆[活跃于 19 世纪]；马丁博士[1868-1933]，瑞典斯德哥尔摩和德国慕尼黑（1910-？-1947年）；（伦敦苏富比拍卖行，1947年3月25日，第118号拍卖品，卖给斯蒂芬-茹昆奇三世）（1947年3月25日）；伊斯特万-"斯蒂芬"-茹昆奇三世[1904-1978年]，后传给其子斯蒂芬-茹昆奇四世（1947-78年）；（斯蒂芬-茹昆奇四世[生于1937年]，佛罗里达州迈阿密，卖给克利夫兰艺术博物馆）（1978-2004年）；克利夫兰艺术博物馆，克利夫兰，俄亥俄州（2004年）,https://clevelandart.org/art/2004.1.49,https://openaccess-cdn.clevelandart.org/2004.1.49/2004.1.49_web.jpg
2654,"道教和佛教题材画册：道教神仙队伍：叶 5
中国，南宋（1127-1279 年）。册页，纸上墨迹；绘画：34.1 x 38.3 cm (13 7/16 x 15 1/16 in.).",道教与佛教题材册页：道教神仙列队图 第5页,1200s,亚洲 - 相册叶,王翬[1632-1717]；李嘉乐[1863 年进士]；朱沆[活跃于 19 世纪]；马丁博士[1868-1933]，瑞典斯德哥尔摩和德国慕尼黑（1910-？-1947年）；（伦敦苏富比拍卖行，1947年3月25日，第118号拍卖品，卖给斯蒂芬-茹昆奇三世）（1947年3月25日）；伊斯特万-"斯蒂芬"-茹昆奇三世[1904-1978年]，后传给其子斯蒂芬-茹昆奇四世（1947-78年）；（斯蒂芬-茹昆奇四世[生于1937年]，佛罗里达州迈阿密，卖给克利夫兰艺术博物馆）（1978-2004年）；克利夫兰艺术博物馆，克利夫兰，俄亥俄州（2004年）,https://clevelandart.org/art/2004.1.5,https://openaccess-cdn.clevelandart.org/2004.1.5/2004.1.5_web.jpg
2655,中国，南宋（1127-1279 年）。册页，纸上墨迹；绘画：34.1 x 38.4 厘米（13.7/16 x 15.1/8 英寸）。克利夫兰艺术博物馆，John L. Severance 基金，以纪念周儒熙博士，不同捐赠者赠与亚洲艺术系（交换） 2004.1.50,道教与佛教题材册页：寻山图 第50页,1200s,亚洲 - 相册叶,王翬[1632-1717]；李嘉乐[1863 年进士]；朱沆[活跃于 19 世纪]；马丁博士[1868-1933]，瑞典斯德哥尔摩和德国慕尼黑（1910-？-1947年）；（伦敦苏富比拍卖行，1947年3月25日，第118号拍卖品，卖给斯蒂芬-茹昆奇三世）（1947年3月25日）；伊斯特万-"斯蒂芬"-茹昆奇三世[1904-1978年]，后传给其子斯蒂芬-茹昆奇四世（1947-78年）；（斯蒂芬-茹昆奇四世[生于1937年]，佛罗里达州迈阿密，卖给克利夫兰艺术博物馆）（1978-2004年）；克利夫兰艺术博物馆，克利夫兰，俄亥俄州（2004年）,https://clevelandart.org/art/2004.1.50,https://openaccess-cdn.clevelandart.org/2004.1.50/2004.1.50_web.jpg
2656,中国，南宋（1127-1279 年），册页，纸上墨迹；绘画：34.2 x 38.5 cm (13 7/16 x 15 3/16 in.).,道教与佛教题材册页：道教神仙列队图 第6页,1200s,亚洲 - 相册叶,王翬[1632-1717]；李嘉乐[1863 年进士]；朱沆[活跃于 19 世纪]；马丁博士[1868-1933]，瑞典斯德哥尔摩和德国慕尼黑（1910-？-1947年）；（伦敦苏富比拍卖行，1947年3月25日，第118号拍卖品，卖给斯蒂芬-茹昆奇三世）（1947年3月25日）；伊斯特万-"斯蒂芬"-茹昆奇三世[1904-1978年]，后传给其子斯蒂芬-茹昆奇四世（1947-78年）；（斯蒂芬-茹昆奇四世[生于1937年]，佛罗里达州迈阿密，卖给克利夫兰艺术博物馆）（1978-2004年）；克利夫兰艺术博物馆，克利夫兰，俄亥俄州（2004年）,https://clevelandart.org/art/2004.1.6,https://openaccess-cdn.clevelandart.org/2004.1.6/2004.1.6_web.jpg
2657,中国，南宋（1127-1279 年），册页，纸上墨迹；绘画：34.1 x 38.5 cm (13 7/16 x 15 3/16 in.).,道教与佛教题材册页：道教神仙列队图 第7页,1200s,亚洲 - 相册叶,王翬[1632-1717]；李嘉乐[1863 年进士]；朱沆[活跃于 19 世纪]；马丁博士[1868-1933]，瑞典斯德哥尔摩和德国慕尼黑（1910-？-1947年）；（伦敦苏富比拍卖行，1947年3月25日，第118号拍卖品，卖给斯蒂芬-茹昆奇三世）（1947年3月25日）；伊斯特万-"斯蒂芬"-茹昆奇三世[1904-1978年]，后传给其子斯蒂芬-茹昆奇四世（1947-78年）；（斯蒂芬-茹昆奇四世[生于1937年]，佛罗里达州迈阿密，卖给克利夫兰艺术博物馆）（1978-2004年）；克利夫兰艺术博物馆，克利夫兰，俄亥俄州（2004年）,https://clevelandart.org/art/2004.1.7,https://openaccess-cdn.clevelandart.org/2004.1.7/2004.1.7_web.jpg
2658,中国，南宋（1127-1279 年），册页，纸上墨迹；绘画：34.2 x 38.5 cm (13 7/16 x 15 3/16 in.).,道教与佛教题材册页：道教神仙列队图 第8页,1200s,亚洲 - 相册叶,王翬[1632-1717]；李嘉乐[1863 年进士]；朱沆[活跃于 19 世纪]；马丁博士[1868-1933]，瑞典斯德哥尔摩和德国慕尼黑（1910-？-1947年）；（伦敦苏富比拍卖行，1947年3月25日，第118号拍卖品，卖给斯蒂芬-茹昆奇三世）（1947年3月25日）；伊斯特万-"斯蒂芬"-茹昆奇三世[1904-1978年]，后传给其子斯蒂芬-茹昆奇四世（1947-78年）；（斯蒂芬-茹昆奇四世[生于1937年]，佛罗里达州迈阿密，卖给克利夫兰艺术博物馆）（1978-2004年）；克利夫兰艺术博物馆，克利夫兰，俄亥俄州（2004年）,https://clevelandart.org/art/2004.1.8,https://openaccess-cdn.clevelandart.org/2004.1.8/2004.1.8_web.jpg
2659,中国，南宋（1127-1279 年），册页，纸本水墨；绘画：34.2 x 38.5 cm (13 7/16 x 15 3/16 in.).,道教与佛教题材册页：道教神仙列队图 第9页,1200s,亚洲 - 相册叶,王翬[1632-1717]；李嘉乐[1863 年进士]；朱沆[活跃于 19 世纪]；马丁博士[1868-1933]，瑞典斯德哥尔摩和德国慕尼黑（1910-？-1947年）；（伦敦苏富比拍卖行，1947年3月25日，第118号拍卖品，卖给斯蒂芬-茹昆奇三世）（1947年3月25日）；伊斯特万-"斯蒂芬"-茹昆奇三世[1904-1978年]，后传给其子斯蒂芬-茹昆奇四世（1947-78年）；（斯蒂芬-茹昆奇四世[生于1937年]，佛罗里达州迈阿密，卖给克利夫兰艺术博物馆）（1978-2004年）；克利夫兰艺术博物馆，克利夫兰，俄亥俄州（2004年）,https://clevelandart.org/art/2004.1.9,https://openaccess-cdn.clevelandart.org/2004.1.9/2004.1.9_web.jpg
